Title,Link,Date & Time,Location
Embassy of Canada Networking Reception,https://www.eventbrite.ca/e/embassy-of-canada-networking-reception-tickets-1828900854689?aff=ebdssbdestsearch,"Mon, Nov 10, 3:30 PM","Berlin · Embassy of Canada to Germany, in Berlin"
xG-Afterwork — Your Gateway to Berlin’s Telecommunications Community,https://www.eventbrite.de/e/xg-afterwork-your-gateway-to-berlins-telecommunications-community-tickets-1678677251849?aff=ebdssbdestsearch,"Thu, Nov 13, 5:00 PM","Berlin · Fachgebiet Telekommunikationsnetze, Gebäude HFT-TA (Raum 101 und 131 plus Foyer; erste Etage)"
KI-EscapeRoom - Spielerisch künstliche Intelligenz für Unternehmen erleben,https://www.eventbrite.de/e/ki-escaperoom-spielerisch-kunstliche-intelligenz-fur-unternehmen-erleben-tickets-1521501655409?aff=ebdssbdestsearch,Tomorrow at 11:30 AM + 81 more,Werder (Havel) · Mittelstand-Digital Zentrum Berlin (Standort Werder (Havel))
Kung Fu Classes,https://www.eventbrite.de/e/kung-fu-classes-tickets-1332117582549?aff=ebdssbdestsearch,Sales end soon,Berlin · Hasenheide parkrun
Workshop - Intro to the Würth Elektronik-Lab,https://www.eventbrite.com/e/workshop-intro-to-the-wurth-elektronik-lab-tickets-1004479775047?aff=ebdssbdestsearch,Going fast,Berlin · MotionLab.Berlin
Martin Audio Systemtraining im Hangar-312 Neuruppin,https://www.eventbrite.de/e/martin-audio-systemtraining-im-hangar-312-neuruppin-tickets-1684026200699?aff=ebdssbdestsearch,Sales end soon,Neuruppin · Hangar-312
Data Vault 2.1 Boot Camp and Certification – Berlin  (November 2025)(Ger),https://www.eventbrite.de/e/data-vault-21-boot-camp-and-certification-berlin-november-2025ger-tickets-1832711241659?aff=ebdssbdestsearch,"Mon, Nov 17, 9:00 AM",Berlin · Hotel NH Collection Berlin Mitte am Checkpoint Charlie
4WARD Global Climate & Sustainability Networking Meetups Berlin,https://www.eventbrite.com/e/4ward-global-climate-sustainability-networking-meetups-berlin-tickets-1255038206059?aff=ebdssbdestsearch,"Thu, Nov 27, 6:30 PM",Berlin · BrewDog Berlin Mitte
Tech Talent Night 2025,https://www.eventbrite.de/e/tech-talent-night-2025-tickets-1660737112409?aff=ebdssbdestsearch,"Wed, Nov 26, 5:00 PM",Leipzig · Design Offices Leipzig Post
Finanzplanung für angehende Unternehmerinnen & Unternehmer,https://www.eventbrite.de/e/finanzplanung-fur-angehende-unternehmerinnen-unternehmer-tickets-1728875285519?aff=ebdssbdestsearch,Almost full,"Leipzig · HTWK Leipzig, Campus Eilenburger Straße"
Sales & Stories #2,https://www.eventbrite.de/e/sales-stories-2-tickets-1803077355909?aff=ebdssbdestsearch,"Tue, Nov 4, 7:00 PM",Leipzig · Basislager Coworking
MINDSHOP | Design Thinking: The HolyGrail of Innovative Products,https://www.eventbrite.com/e/mindshop-design-thinking-the-holygrail-of-innovative-products-tickets-735194335047?aff=ebdssbdestsearch,Sales end soon,Leipzig · Mindshop Online Classroom
